True_Class,Assigned_Class,Correct,Predicted_Score,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
3,3,1,0.903269,0.000005,0.000000,0.000123,0.903269,0.000145,0.007039,0.000012,0.000039,0.088925,0.000443
0,0,1,0.987819,0.987819,0.000000,0.000286,0.000003,0.000000,0.004296,0.006998,0.000381,0.000215,0.000003
7,7,1,0.949325,0.000234,0.000000,0.000112,0.048057,0.002026,0.000000,0.000000,0.949325,0.000235,0.000011
0,0,1,0.987226,0.987226,0.000000,0.000688,0.000103,0.000000,0.000277,0.000168,0.000000,0.011537,0.000000
2,2,1,0.909884,0.005453,0.000000,0.909884,0.081553,0.000003,0.000108,0.000569,0.000000,0.002431,0.000000
9,9,1,0.566952,0.000002,0.000226,0.000035,0.013579,0.000002,0.000052,0.000000,0.364746,0.054406,0.566952
1,1,1,0.870655,0.000000,0.870655,0.004659,0.010611,0.000037,0.019055,0.004423,0.002954,0.070875,0.016731
7,7,1,0.981774,0.000000,0.000005,0.002906,0.006671,0.003693,0.000138,0.000001,0.981774,0.001130,0.003683
3,3,1,0.821584,0.000800,0.016630,0.000686,0.821584,0.000366,0.120037,0.000485,0.000007,0.039130,0.000275
2,2,1,0.784287,0.000173,0.183014,0.784287,0.000005,0.001838,0.012440,0.000382,0.008041,0.000721,0.009100
9,9,1,0.797708,0.000001,0.000835,0.000030,0.078319,0.020175,0.022456,0.000030,0.019045,0.061400,0.797708
7,7,1,0.987034,0.000001,0.000000,0.000001,0.000114,0.000002,0.000023,0.000000,0.987034,0.003864,0.008961
7,7,1,0.551075,0.000002,0.000000,0.000029,0.002369,0.001953,0.006554,0.000024,0.551075,0.000231,0.437764
6,6,1,0.935986,0.005191,0.000000,0.044733,0.000008,0.003301,0.010211,0.935986,0.000003,0.000499,0.000069
2,2,1,0.992905,0.001031,0.000000,0.992905,0.000382,0.000006,0.000004,0.000462,0.000000,0.005210,0.000000
7,7,1,0.942622,0.000014,0.000000,0.000033,0.002001,0.000603,0.004427,0.000000,0.942622,0.000104,0.050196
8,8,1,0.686305,0.000689,0.000122,0.000634,0.000063,0.011033,0.297852,0.000373,0.000015,0.686305,0.002914
4,4,1,0.897281,0.000057,0.000000,0.000000,0.000411,0.897281,0.000357,0.000868,0.000003,0.084869,0.016155
7,7,1,0.989451,0.000000,0.000002,0.001657,0.001249,0.000036,0.000084,0.000001,0.989451,0.002762,0.004759
3,3,1,0.902201,0.000059,0.000000,0.000003,0.902201,0.012245,0.067397,0.009706,0.008184,0.000202,0.000003
6,6,1,0.989890,0.000007,0.000000,0.009437,0.000003,0.000635,0.000002,0.989890,0.000000,0.000008,0.000017
1,1,1,0.925086,0.000008,0.925086,0.032895,0.013386,0.001097,0.002954,0.006743,0.000095,0.016624,0.001111
3,3,1,0.956656,0.008982,0.000302,0.000373,0.956656,0.000014,0.027003,0.000000,0.000106,0.006176,0.000387
6,6,1,0.987748,0.000000,0.000034,0.008101,0.000081,0.001106,0.000901,0.987748,0.000000,0.001960,0.000068
9,9,1,0.575317,0.000463,0.007254,0.018534,0.002144,0.234592,0.035382,0.001288,0.101739,0.023288,0.575317
3,3,1,0.983925,0.000199,0.000003,0.000022,0.983925,0.000001,0.010318,0.000000,0.001021,0.003268,0.001244
1,1,1,0.749645,0.000000,0.749645,0.009655,0.011233,0.000792,0.005215,0.006687,0.000173,0.214981,0.001619
4,4,1,0.856680,0.000021,0.000000,0.000005,0.000000,0.856680,0.000001,0.115682,0.000020,0.002633,0.024959
1,1,1,0.745599,0.000000,0.745599,0.002759,0.116872,0.005416,0.051687,0.004048,0.059091,0.008237,0.006290
7,7,1,0.944094,0.000000,0.000166,0.047905,0.005281,0.000018,0.000022,0.001161,0.944094,0.000983,0.000369
6,6,1,0.685281,0.015883,0.000021,0.041595,0.000009,0.000107,0.256794,0.685281,0.000000,0.000310,0.000000
